id,job_title,nice_areas,nice_subcategories,ksa,tasks
h2,Cybersecurity Engineer,Securely Provision,Systems Architecture ,Knowledge of operating systems.,Write detailed functional specifications that document the architecture development process. 
h2,Cybersecurity Engineer,Securely Provision,Systems Architecture ,"Knowledge of how traffic flows across the network (e.g., Transmission Control Protocol [TCP] and Internet Protocol [IP], Open System Interconnection Model [OSI], Information Technology Infrastructure Library, current version [ITIL]).","Develop a system security context, a preliminary system security CONOPS, and define baseline system security requirements in accordance with applicable cybersecurity requirements. "
h2,Cybersecurity Engineer,Securely Provision,Systems Architecture ,Knowledge of parallel and distributed computing concepts.,"Analyze candidate architectures, allocate security services, and select security mechanisms. "
h2,Cybersecurity Engineer,Securely Provision,Systems Architecture ,Knowledge of configuration management techniques.,Evaluate security architectures and designs to determine the adequacy of security design and architecture proposed or provided in response to requirements contained in acquisition documents. 
h2,Cybersecurity Engineer,Securely Provision,Systems Architecture ,"Knowledge of key concepts in security management (e.g., Release Management, Patch Management).",
h2,Cybersecurity Engineer,Securely Provision,Systems Architecture ,"Knowledge of security system design tools, methods, and techniques.",Define and prioritize essential system capabilities or business functions required for partial or full system restoration after a catastrophic failure event.
h2,Cybersecurity Engineer,Securely Provision,Systems Architecture ,Knowledge of N-tiered typologies including server and client operating systems.,"Develop/integrate cybersecurity designs for systems and networks with multilevel security requirements or requirements for the processing of multiple classification levels of data primarily applicable to government organizations (e.g., UNCLASSIFIED, SECRET, and TOP SECRET)."
h2,Cybersecurity Engineer,Securely Provision,Systems Architecture ,Knowledge of software engineering.,"Document and address organization's information security, cybersecurity architecture, and systems security engineering requirements throughout the acquisition lifecycle."
h2,Cybersecurity Engineer,Securely Provision,Systems Architecture ,Knowledge of systems testing and evaluation methods.,"Document the protection needs (i.e., security controls) for the information system(s) and network(s) and document appropriately."
h2,Cybersecurity Engineer,Securely Provision,Systems Architecture ,Ability to execute technology integration processes.,"Perform security reviews, identify gaps in security architecture, and develop a security risk management plan."
h2,Cybersecurity Engineer,Securely Provision,Systems Architecture ,"Knowledge of key telecommunications concepts (e.g., Routing Algorithms, Fiber Optics Systems Link Budgeting, Add/Drop Multiplexers).",Provide input on security requirements to be included in statements of work and other appropriate procurement documents.
h2,Cybersecurity Engineer,Securely Provision,Systems Architecture ,Knowledge of the enterprise information technology (IT) architectural concepts and patterns to include baseline and target architectures.,Define and document how the implementation of a new system or new interfaces between systems impacts the security posture of the current environment.
h2,Cybersecurity Engineer,Securely Provision,Systems Architecture ,Knowledge of integrating the organizationﾒs goals and objectives into the architecture.,Assess and design security management functions as related to cyberspace.
h2,Cybersecurity Engineer,Securely Provision,Systems Architecture ,Knowledge of the systems engineering process.,
h2,Cybersecurity Engineer,Securely Provision,Systems Architecture ,Skill in applying and incorporating information technologies into proposed solutions.,
h2,Cybersecurity Engineer,Securely Provision,Systems Architecture ,Skill in designing the integration of hardware and software solutions.,
h2,Cybersecurity Engineer,Securely Provision,Systems Architecture ,"Knowledge in determining how a security system should work (including its resilience and dependability capabilities) and how changes in conditions, operations, or the environment will affect these outcomes.",
h2,Cybersecurity Engineer,Securely Provision,Systems Architecture ,"Skill in design modeling and building use cases (e.g., unified modeling language).",
h2,Cybersecurity Engineer,Securely Provision,Systems Architecture ,Skill in the use of design methods. ,
h2,Cybersecurity Engineer,Securely Provision,Systems Architecture ,"Ability to apply the methods, standards, and approaches for describing, analyzing, and documenting an organization's enterprise information technology (IT) architecture (e.g., Open Group Architecture Framework [TOGAF], Department of Defense Architecture Framework [DoDAF], Federal Enterprise Architecture Framework [FEAF]).",
h2,Cybersecurity Engineer,Securely Provision,Systems Architecture ,"Knowledge of program protection planning to include information technology (IT) supply chain security/risk management policies, anti-tampering techniques, and requirements.",
h2,Cybersecurity Engineer,Securely Provision,Systems Architecture ,"wledge of local specialized system requirements (e.g., critical infrastructure systems that may not use standard information technology [IT]) for safety, performance, and reliability.",
h2,Cybersecurity Engineer,Securely Provision,Systems Architecture ,"Knowledge of network security architecture concepts including topology, protocols, components, and principles (e.g., application of defense-in-depth).",
h2,Cybersecurity Engineer,Securely Provision,Systems Architecture ,"Knowledge of network systems management principles, models, methods (e.g., end-to-end systems performance monitoring), and tools.",
h2,Cybersecurity Engineer,Securely Provision,Systems Architecture ,"Knowledge of organizational process improvement concepts and process maturity models (e.g., Capability Maturity Model Integration (CMMI) for Development, CMMI for Services, and CMMI for Acquisitions).",
h2,Cybersecurity Engineer,Securely Provision,Systems Architecture ,"Knowledge of service management concepts for networks and related standards (e.g., Information Technology Infrastructure Library, current version [ITIL]).",
h2,Cybersecurity Engineer,Securely Provision,Systems Architecture ,Knowledge of an organization's information classification program and procedures for information compromise.,
h2,Cybersecurity Engineer,Securely Provision,Systems Architecture ,"Knowledge of security models (e.g., Bell-LaPadula model, Biba integrity model, Clark-Wilson integrity model).",
h2,Cybersecurity Engineer,Securely Provision,Systems Architecture ,"* Knowledge of computer networking concepts and protocols, and network security methodologies. ",
h2,Cybersecurity Engineer,Securely Provision,Systems Architecture ,"* Knowledge of risk management processes (e.g., methods for assessing and mitigating risk).",
h2,Cybersecurity Engineer,Securely Provision,Systems Architecture ,"* Knowledge of national and international laws, regulations, policies, and ethics as they relate to cybersecurity. ",
h2,Cybersecurity Engineer,Securely Provision,Systems Architecture ,* Knowledge of cybersecurity principles.,
h2,Cybersecurity Engineer,Securely Provision,Systems Architecture ,* Knowledge of cyber threats and vulnerabilities. ,
h2,Cybersecurity Engineer,Securely Provision,Systems Architecture ,* Knowledge of specific operational impacts of cybersecurity lapses.,
h2,Cybersecurity Engineer,Securely Provision,Systems Architecture ,Knowledge of multi-level/security cross domain solutions.,
h2,Cybersecurity Engineer,Securely Provision,Systems Architecture ,Ability to optimize systems to meet enterprise performance requirements.,
h2,Cybersecurity Engineer,Securely Provision,Systems Architecture ,Ability to apply an organization's goals and objectives to develop and maintain architecture.,
h2,Cybersecurity Engineer,Securely Provision,Systems Architecture ,"Skill in determining how a security system should work and how changes in conditions, operations, or the environment will affect these outcomes.",
h2,Cybersecurity Engineer,Securely Provision,Systems Architecture ,"Knowledge of mathematics, including logarithms, trigonometry, linear algebra, calculus, and statistics.",
h2,Cybersecurity Engineer,Securely Provision,Systems Architecture ,"Knowledge of electrical engineering as applied to computer architecture, including circuit boards, processors, chips, and associated computer hardware.",
h2,Cybersecurity Engineer,Securely Provision,Systems Architecture ,"Knowledge of confidentiality, integrity, and availability requirements.",
h2,Cybersecurity Engineer,Securely Provision,Systems Architecture ,Knowledge of various types of computer architectures.,
h2,Cybersecurity Engineer,Securely Provision,Systems Architecture ,"Skill in writing code in a currently supported programming language (e.g., Java, C++).",
h2,Cybersecurity Engineer,Securely Provision,Systems Architecture ,Ability to conduct vulnerability scans and recognize vulnerabilities in security systems.,
h2,Cybersecurity Engineer,Securely Provision,Systems Architecture ,Knowledge of circuit analysis.,
h2,Cybersecurity Engineer,Securely Provision,Systems Architecture ,Knowledge of the Risk Management Framework Assessment Methodology. ,
h2,Cybersecurity Engineer,Securely Provision,Systems Architecture ,Knowledge of cybersecurity-enabled software products.,
h2,Cybersecurity Engineer,Securely Provision,Systems Architecture ,"Knowledge of authentication, authorization, and access control methods.",
h2,Cybersecurity Engineer,Securely Provision,Systems Architecture ,Knowledge of computer algorithms.,
h2,Cybersecurity Engineer,Securely Provision,Systems Architecture ,"Knowledge of encryption algorithms (e.g., Internet Protocol Security [IPSEC], Advanced Encryption Standard [AES], Generic Routing Encapsulation [GRE], Internet Key Exchange [IKE], Message Digest Algorithm [MD5], Secure Hash Algorithm [SHA], Triple Data Encryption Standard [3DES]).",
h2,Cybersecurity Engineer,Securely Provision,Systems Architecture ,Knowledge of cryptography and cryptographic key management concepts.,
h2,Cybersecurity Engineer,Securely Provision,Systems Architecture ,Knowledge of organization's evaluation and validation criteria.,
h2,Cybersecurity Engineer,Securely Provision,Systems Architecture ,Knowledge of human-computer interaction principles.,
h2,Cybersecurity Engineer,Securely Provision,Systems Architecture ,Ability to design architectures and frameworks.,
h2,Cybersecurity Engineer,Securely Provision,Systems Architecture ,"Skill in applying cybersecurity methods, such as firewalls, demilitarized zones, and encryption.",
h2,Cybersecurity Engineer,Securely Provision,Systems Architecture ,Knowledge of microprocessors.,
h2,Cybersecurity Engineer,Securely Provision,Systems Architecture ,"Ability to apply secure system design tools, methods and techniques.",
h2,Cybersecurity Engineer,Securely Provision,Systems Architecture ,Knowledge of N-tiered typologies including server and client operating systems. ,
h2,Cybersecurity Engineer,Securely Provision,Systems Architecture ,"Ability to apply system design tools, methods, and techniques, including automated systems analysis and design tools.",
h2,Cybersecurity Engineer,Securely Provision,Systems Architecture ,Knowledge of technology integration processes.,
h2,Cybersecurity Engineer,Securely Provision,Systems Architecture ,"Skill in determining how a security system should work (including its resilience and dependability capabilities) and how changes in conditions, operations, or the environment will affect these outcomes.",
h2,Cybersecurity Engineer,Securely Provision,Systems Architecture ,"Skill in translating operational requirements into protection needs (i.e., security controls).",
h2,Cybersecurity Engineer,Securely Provision,Systems Architecture ,Knowledge of Personally Identifiable Information (PII) data security standards.,
h2,Cybersecurity Engineer,Securely Provision,Systems Architecture ,Knowledge of Payment Card Industry (PCI) data security standards.,
h2,Cybersecurity Engineer,Securely Provision,Systems Architecture ,Knowledge of Personal Health Information (PHI) data security standards.,
h2,Cybersecurity Engineer,Securely Provision,Systems Architecture ,"Ability to apply network security architecture concepts including topology, protocols, components, and principles (e.g., application of defense-in-depth).",
h2,Cybersecurity Engineer,Securely Provision,Systems Architecture ,"Skill in applying security models (e.g., Bell-LaPadula model, Biba integrity model, Clark-Wilson integrity model).",
h2,Cybersecurity Engineer,Securely Provision,Systems Architecture ,Skill in designing multi-level security/cross domain solutions.,
h2,Cybersecurity Engineer,Securely Provision,Systems Development,Skill in conducting vulnerability scans and recognizing vulnerabilities in security systems.,"Analyze design constraints, analyze trade-offs and detailed system and security design, and consider lifecycle support."
h2,Cybersecurity Engineer,Securely Provision,Systems Development,Knowledge of access authentication methods.,"Apply security policies to applications that interface with one another, such as Business-to-Business (B2B) applications."
h2,Cybersecurity Engineer,Securely Provision,Systems Development,Knowledge of computer algorithms.,Assess the effectiveness of cybersecurity measures utilized by system(s).
h2,Cybersecurity Engineer,Securely Provision,Systems Development,"Knowledge of encryption algorithms (e.g., Internet Protocol Security [IPSEC], Advanced Encryption Standard [AES], Generic Routing Encapsulation [GRE], Internet Key Exchange [IKE], Message Digest Algorithm [MD5], Secure Hash Algorithm [SHA], Triple Data Encryption Standard [3DES]).",Assess threats to and vulnerabilities of computer system(s) to develop a security risk profile.
h2,Cybersecurity Engineer,Securely Provision,Systems Development,Knowledge of cryptology.,"Build, test, and modify product prototypes using working models or theoretical models."
h2,Cybersecurity Engineer,Securely Provision,Systems Development,Knowledge of database systems.,"Conduct Privacy Impact Assessments (PIA) of the applicationﾒs security design for the appropriate security controls, which protect the confidentiality and integrity of Personally Identifiable Information (PII)."
h2,Cybersecurity Engineer,Securely Provision,Systems Development,Knowledge of organization's enterprise information security architecture system.,Design and develop cybersecurity or cybersecurity-enabled products.
h2,Cybersecurity Engineer,Securely Provision,Systems Development,Knowledge of organization's evaluation and validation requirements.,"Design, implement, test, and evaluate secure interfaces between information systems, physical systems, and/or embedded technologies."
h2,Cybersecurity Engineer,Securely Provision,Systems Development,"Knowledge of electrical engineering as applied to computer architecture, including circuit boards, processors, chips, and associated computer hardware.","Design, develop, integrate, and update system security measures that provide confidentiality, integrity, availability, authentication, and non-repudiation."
h2,Cybersecurity Engineer,Securely Provision,Systems Development,Knowledge of embedded systems.,"Design hardware, operating systems, and software applications to adequately address cybersecurity requirements."
h2,Cybersecurity Engineer,Securely Provision,Systems Development,Knowledge of fault tolerance.,"Design or integrate appropriate data backup capabilities into overall system designs, and ensure appropriate technical and procedural processes exist for secure system backups and protected storage of backup data."
h2,Cybersecurity Engineer,Securely Provision,Systems Development,"Knowledge of how system components are installed, integrated, and optimized.",Design to security requirements to ensure requirements are met for all systems and/or applications.
h2,Cybersecurity Engineer,Securely Provision,Systems Development,Knowledge of human-computer interaction principles.,Develop and direct system testing and validation procedures and documentation.
h2,Cybersecurity Engineer,Securely Provision,Systems Development,"Knowledge of cybersecurity principles and organizational requirements (relevant to confidentiality, integrity, availability, authentication, non-repudiation).",Develop detailed security design documentation for component and interface specifications to support system design and development.
h2,Cybersecurity Engineer,Securely Provision,Systems Development,Knowledge of information security systems engineering principles.,Develop Disaster Recovery and Continuity of Operations plans for systems under development and ensure testing prior to systems entering a production environment.
h2,Cybersecurity Engineer,Securely Provision,Systems Development,"Knowledge of Information Theory (e.g., source coding, channel coding, algorithm complexity theory, and data compression).",Develop risk mitigation strategies to resolve vulnerabilities and recommend security changes to system or system components as needed.
h2,Cybersecurity Engineer,Securely Provision,Systems Development,"Knowledge of information technology (IT) security principles and methods, such as firewalls, demilitarized zones, and encryption.","Develop mitigation strategies to address cost, schedule, performance, and security risks."
h2,Cybersecurity Engineer,Securely Provision,Systems Development,Knowledge of local area and wide area networking principles and concepts including bandwidth management.,Develop specific cybersecurity countermeasures and risk mitigation strategies for systems and/or applications.
h2,Cybersecurity Engineer,Securely Provision,Systems Development,"Knowledge of mathematics, including logarithms, trigonometry, linear algebra, calculus, and statistics.","Identify components or elements, allocate security functions to those elements, and describe the relationships between the elements."
h2,Cybersecurity Engineer,Securely Provision,Systems Development,Knowledge of microprocessors.,"Identify and direct the remediation of technical problems encountered during testing and implementation of new systems (e.g., identify and find work-arounds for communication protocols that are not interoperable)."
h2,Cybersecurity Engineer,Securely Provision,Systems Development,"Knowledge of network access, identity, and access management (e.g., public key infrastructure [PKI]).",Identify and prioritize essential system functions or sub-systems required to support essential capabilities or business functions for restoration or recovery after a system failure or during a system recovery event based on overall system requirements for continuity and availability.
h2,Cybersecurity Engineer,Securely Provision,Systems Development,"Knowledge of network protocols such as TCP/IP, Dynamic Host Configuration, Domain Name System (DNS), and directory services.","Identify, assess, and recommend cybersecurity or cybersecurity-enabled products for use within a system and ensure recommended products are in compliance with organization's evaluation and validation requirements."
h2,Cybersecurity Engineer,Securely Provision,Systems Development,"Knowledge of network design processes, to include understanding of security objectives, operational objectives, and tradeoffs.",Implement security designs for new or existing system(s).
h2,Cybersecurity Engineer,Securely Provision,Systems Development,Knowledge of operating systems.,"Incorporate cybersecurity vulnerability solutions into system designs (e.g., Cybersecurity Vulnerability Alerts)."
h2,Cybersecurity Engineer,Securely Provision,Systems Development,"Knowledge of how traffic flows across the network (e.g., Transmission Control Protocol [TCP] and Internet Protocol [IP], Open System Interconnection Model [OSI], Information Technology Infrastructure Library, current version [ITIL]).",Perform an information security risk assessment.
h2,Cybersecurity Engineer,Securely Provision,Systems Development,Knowledge of parallel and distributed computing concepts.,Perform security reviews and identify security gaps in architecture.
h2,Cybersecurity Engineer,Securely Provision,Systems Development,Knowledge of policy-based and risk adaptive access controls.,"Perform risk analysis (e.g., threat, vulnerability, and probability of occurrence) whenever an application or system undergoes a major change."
h2,Cybersecurity Engineer,Securely Provision,Systems Development,Knowledge of Privacy Impact Assessments.,Provide guidelines for implementing developed systems to customers or installation teams.
h2,Cybersecurity Engineer,Securely Provision,Systems Development,Knowledge of process engineering concepts.,Provide input to implementation plans and standard operating procedures as they relate to information systems security. 
h2,Cybersecurity Engineer,Securely Provision,Systems Development,Knowledge of secure configuration management techniques.,"Provide input to the Risk Management Framework process activities and related documentation (e.g., system life-cycle support plans, concept of operations, operational procedures, and maintenance training materials)."
h2,Cybersecurity Engineer,Securely Provision,Systems Development,Knowledge of security management.,"Store, retrieve, and manipulate data for analysis of system capabilities and requirements."
h2,Cybersecurity Engineer,Securely Provision,Systems Development,"Knowledge of software development models (e.g., Waterfall Model, Spiral Model).",Provide support to security/certification test and evaluation activities.
h2,Cybersecurity Engineer,Securely Provision,Systems Development,Knowledge of software engineering.,Trace system requirements to design components and perform gap analysis.
h2,Cybersecurity Engineer,Securely Provision,Systems Development,Knowledge of structured analysis principles and methods.,Utilize models and simulations to analyze or predict system performance under different operating conditions.
h2,Cybersecurity Engineer,Securely Provision,Systems Development,"Knowledge of system design tools, methods, and techniques, including automated systems analysis and design tools.","Verify stability, interoperability, portability, and/or scalability of system architecture."
h2,Cybersecurity Engineer,Securely Provision,Systems Development,"Knowledge of system software and organizational design standards, policies, and authorized approaches (e.g., International Organization for Standardization [ISO] guidelines) relating to system design.",Design and develop key management functions (as related to cybersecurity).
h2,Cybersecurity Engineer,Securely Provision,Systems Development,"Knowledge of system life cycle management principles, including software security and usability.",Analyze user needs and requirements to plan and conduct system security development.
h2,Cybersecurity Engineer,Securely Provision,Systems Development,Knowledge of systems testing and evaluation methods.,"Develop cybersecurity designs to meet specific operational needs and environmental factors (e.g., access controls, automated applications, networked operations, high integrity and availability requirements, multilevel security/processing of multiple classification levels, and processing Sensitive Compartmented Information)."
h2,Cybersecurity Engineer,Securely Provision,Systems Development,"Knowledge of key telecommunications concepts (e.g., Routing Algorithms, Fiber Optics Systems Link Budgeting, Add/Drop Multiplexers).",Ensure security design and cybersecurity development activities are properly documented (providing a functional description of security implementation) and updated as necessary.
h2,Cybersecurity Engineer,Securely Provision,Systems Development,Knowledge of the systems engineering process.,"Implement and integrate system development life cycle (SDLC) methodologies (e.g., IBM Rational Unified Process) into development environment."
h2,Cybersecurity Engineer,Securely Provision,Systems Development,Skill in integrating and applying policies that meet system security objectives.,Employ configuration management processes. 
h2,Cybersecurity Engineer,Securely Provision,Systems Development,Skill in designing countermeasures to identified security risks.,
h2,Cybersecurity Engineer,Securely Provision,Systems Development,Knowledge of countermeasure design for identified security risks.,"Design hardware, operating systems, and software applications to adequately address requirements."
h2,Cybersecurity Engineer,Securely Provision,Systems Development,Skill in designing security controls based on cybersecurity principles and tenets.,Develop architectures or system components consistent with technical specifications.
h2,Cybersecurity Engineer,Securely Provision,Systems Development,Skill in designing the integration of hardware and software solutions.,Develop detailed design documentation for component and interface specifications to support system design and development.
h2,Cybersecurity Engineer,Securely Provision,Systems Development,Skill in developing and applying security system access controls.,"Identify components or elements, allocate comprehensive functional components to include security functions, and describe the relationships between the elements."
h2,Cybersecurity Engineer,Securely Provision,Systems Development,"Skill in discerning the protection needs (i.e., security controls) of information systems and networks.","Conduct a market analysis to identify, assess, and recommend commercial, GOTS, and open source products for use within a system and ensure recommended products are in compliance with organization's evaluation and validation requirements."
h2,Cybersecurity Engineer,Securely Provision,Systems Development,Skill in evaluating the adequacy of security designs.,Implement designs for new or existing system(s).
h2,Cybersecurity Engineer,Securely Provision,Systems Development,"Skill in the use of design modeling (e.g., unified modeling language).",Incorporates risk-driven systems maintenance updates process to address system deficiencies (periodically and out of cycle).
h2,Cybersecurity Engineer,Securely Provision,Systems Development,Knowledge of interpreted and compiled computer languages.,"Provide input to implementation plans, standard operating procedures, maintenance documentation, and maintenance training materials"
h2,Cybersecurity Engineer,Securely Provision,Systems Development,Skill in conducting audits or reviews of technical systems.,Provide support to test and evaluation activities.
h2,Cybersecurity Engineer,Securely Provision,Systems Development,Knowledge of Personally Identifiable Information (PII) data security standards.,Design and develop system administration and management functionality for privileged access users.
h2,Cybersecurity Engineer,Securely Provision,Systems Development,Knowledge of Payment Card Industry (PCI) data security standards.,Analyze user needs and requirements to plan and conduct system development.
h2,Cybersecurity Engineer,Securely Provision,Systems Development,Knowledge of Personal Health Information (PHI) data security standards.,"Develop designs to meet specific operational needs and environmental factors (e.g., access controls, automated applications, networked operations."
h2,Cybersecurity Engineer,Securely Provision,Systems Development,"Knowledge of information technology (IT) supply chain security and risk management policies, requirements, and procedures.","Collaborate on cybersecurity designs to meet specific operational needs and environmental factors (e.g., access controls, automated applications, networked operations, high integrity and availability requirements, multilevel security/processing of multiple classification levels, and processing Sensitive Compartmented Information)."
h2,Cybersecurity Engineer,Securely Provision,Systems Development,"wledge of local specialized system requirements (e.g., critical infrastructure systems that may not use standard information technology [IT]) for safety, performance, and reliability.",Ensure design and development activities are properly documented (providing a functional description of implementation) and updated as necessary.
h2,Cybersecurity Engineer,Securely Provision,Systems Development,"Knowledge of network security architecture concepts including topology, protocols, components, and principles (e.g., application of Defense-in-Depth).",
h2,Cybersecurity Engineer,Securely Provision,Systems Development,"Knowledge of network systems management principles, models, methods (e.g., end-to-end systems performance monitoring), and tools.",
h2,Cybersecurity Engineer,Securely Provision,Systems Development,"Knowledge of service management concepts for networks and related standards (e.g., Information Technology Infrastructure Library, current version [ITIL]).",
h2,Cybersecurity Engineer,Securely Provision,Systems Development,Knowledge of an organization's information classification program and procedures for information compromise.,
h2,Cybersecurity Engineer,Securely Provision,Systems Development,"Knowledge of security models (e.g., Bell-LaPadula model, Biba integrity model, Clark-Wilson integrity model).",
h2,Cybersecurity Engineer,Securely Provision,Systems Development,"* Knowledge of computer networking concepts and protocols, and network security methodologies. ",
h2,Cybersecurity Engineer,Securely Provision,Systems Development,"* Knowledge of risk management processes (e.g., methods for assessing and mitigating risk).",
h2,Cybersecurity Engineer,Securely Provision,Systems Development,"* Knowledge of national and international laws, regulations, policies, and ethics as they relate to cybersecurity. ",
h2,Cybersecurity Engineer,Securely Provision,Systems Development,* Knowledge of cybersecurity principles.,
h2,Cybersecurity Engineer,Securely Provision,Systems Development,* Knowledge of cyber threats and vulnerabilities. ,
h2,Cybersecurity Engineer,Securely Provision,Systems Development,* Knowledge of specific operational impacts of cybersecurity lapses.,
h2,Cybersecurity Engineer,Securely Provision,Systems Development,Skill in creating policies that reflect system security objectives.,
h2,Cybersecurity Engineer,Securely Provision,Systems Development,"Skill in creating policies that enable systems to meet performance objectives (e.g. traffic routing, SLA's, CPU specifications).",
h2,Cybersecurity Engineer,Securely Provision,Systems Development,"Skill in network systems management principles, models, methods (e.g., end-to-end systems performance monitoring), and tools.",
h2,Cybersecurity Engineer,Securely Provision,Systems Development,"Skill in writing code in a currently supported programming language (e.g., Java, C++).",
h2,Cybersecurity Engineer,Securely Provision,Systems Development,Knowledge of cybersecurity-enabled software products.,
h2,Cybersecurity Engineer,Securely Provision,Systems Development,Knowledge of various types of computer architectures.,
h2,Cybersecurity Engineer,Securely Provision,Systems Development,Skill in applying security controls.,
h2,Cybersecurity Engineer,Securely Provision,Systems Development,Skill in detecting host and network based intrusions via intrusion detection technologies.,
h2,Cybersecurity Engineer,Securely Provision,Systems Development,Knowledge of circuit analysis.,
h2,Cybersecurity Engineer,Securely Provision,Systems Requirements Planning,Knowledge of applicable business processes and operations of customer organizations.,"Conduct risk analysis, feasibility study, and/or trade-off analysis to develop, document, and refine functional requirements and specifications."
h2,Cybersecurity Engineer,Securely Provision,Systems Requirements Planning,Knowledge of capabilities and requirements analysis.,Consult with customers to evaluate functional requirements.
h2,Cybersecurity Engineer,Securely Provision,Systems Requirements Planning,"Knowledge of encryption algorithms (e.g., Internet Protocol Security [IPSEC], Advanced Encryption Standard [AES], Generic Routing Encapsulation [GRE], Internet Key Exchange [IKE], Message Digest Algorithm [MD5], Secure Hash Algorithm [SHA], Triple Data Encryption Standard [3DES]).","Coordinate with systems architects and developers, as needed, to provide oversight in the development of design solutions."
h2,Cybersecurity Engineer,Securely Provision,Systems Requirements Planning,Knowledge of cryptography and cryptographic key management concepts.,Define project scope and objectives based on customer requirements.
h2,Cybersecurity Engineer,Securely Provision,Systems Requirements Planning,Knowledge of fault tolerance.,Define baseline security requirements in accordance with applicable guidelines.
h2,Cybersecurity Engineer,Securely Provision,Systems Requirements Planning,"Knowledge of how system components are installed, integrated, and optimized.","Develop and document requirements, capabilities, and constraints for design procedures and processes."
h2,Cybersecurity Engineer,Securely Provision,Systems Requirements Planning,"Knowledge of cybersecurity principles used to manage risks related to the use, processing, storage, and transmission of information or data.",Develop cost estimates for new or modified system(s).
h2,Cybersecurity Engineer,Securely Provision,Systems Requirements Planning,Knowledge of industry-standard and organizationally accepted analysis principles and methods.,Integrate and align information security and/or cybersecurity policies to ensure system analysis meets security requirements.
h2,Cybersecurity Engineer,Securely Provision,Systems Requirements Planning,"Knowledge of cybersecurity principles and organizational requirements (relevant to confidentiality, integrity, availability, authentication, non-repudiation).",Manage the information technology (IT) planning process to ensure that developed solutions meet customer requirements.
h2,Cybersecurity Engineer,Securely Provision,Systems Requirements Planning,Knowledge of information security systems engineering principles.,Oversee and make recommendations regarding configuration management.
h2,Cybersecurity Engineer,Securely Provision,Systems Requirements Planning,"Knowledge of Information Theory (e.g., source coding, channel coding, algorithm complexity theory, and data compression).",Perform needs analysis to determine opportunities for new and improved business process solutions.
h2,Cybersecurity Engineer,Securely Provision,Systems Requirements Planning,Knowledge of information technology (IT) architectural concepts and frameworks.,Prepare use cases to justify the need for specific information technology (IT) solutions.
h2,Cybersecurity Engineer,Securely Provision,Systems Requirements Planning,Knowledge of microprocessors.,Translate functional requirements into technical solutions.
h2,Cybersecurity Engineer,Securely Provision,Systems Requirements Planning,"Knowledge of network access, identity, and access management (e.g., public key infrastructure [PKI]).","Develop and document supply chain risks for critical system elements, as appropriate."
h2,Cybersecurity Engineer,Securely Provision,Systems Requirements Planning,"Knowledge of network protocols (e.g., Transmission Critical Protocol/Internet Protocol [TCP/IP], Dynamic Host Configuration Protocol [DHCP]), and directory services (e.g., Domain Name System [DNS]).",Develop and document User Experience (UX) requirements including information architecture and user interface requirements.
h2,Cybersecurity Engineer,Securely Provision,Systems Requirements Planning,"Knowledge of network design processes, to include understanding of security objectives, operational objectives, and tradeoffs.",Design and document quality standards. 
h2,Cybersecurity Engineer,Securely Provision,Systems Requirements Planning,Knowledge of new and emerging information technology (IT) and cybersecurity technologies.,"Ensure that all systems components can be integrated and aligned (e.g., procedures, databases, policies, software, and hardware). "
h2,Cybersecurity Engineer,Securely Provision,Systems Requirements Planning,Knowledge of operating systems.,Document a system's purpose and preliminary system security concept of operations.
h2,Cybersecurity Engineer,Securely Provision,Systems Requirements Planning,"Knowledge of how traffic flows across the network (e.g., Transmission Control Protocol [TCP] and Internet Protocol [IP], Open System Interconnection Model [OSI], Information Technology Infrastructure Library, current version [ITIL]).",
h2,Cybersecurity Engineer,Securely Provision,Systems Requirements Planning,Knowledge of parallel and distributed computing concepts.,
h2,Cybersecurity Engineer,Securely Provision,Systems Requirements Planning,Knowledge of Privacy Impact Assessments.,
h2,Cybersecurity Engineer,Securely Provision,Systems Requirements Planning,Knowledge of process engineering concepts.,
h2,Cybersecurity Engineer,Securely Provision,Systems Requirements Planning,"Knowledge of key concepts in security management (e.g., Release Management, Patch Management).",
h2,Cybersecurity Engineer,Securely Provision,Systems Requirements Planning,"Knowledge of system design tools, methods, and techniques, including automated systems analysis and design tools.",
h2,Cybersecurity Engineer,Securely Provision,Systems Requirements Planning,"Knowledge of system software and organizational design standards, policies, and authorized approaches (e.g., International Organization for Standardization [ISO] guidelines) relating to system design.",
h2,Cybersecurity Engineer,Securely Provision,Systems Requirements Planning,"Knowledge of system life cycle management principles, including software security and usability.",
h2,Cybersecurity Engineer,Securely Provision,Systems Requirements Planning,Knowledge of systems testing and evaluation methods.,
h2,Cybersecurity Engineer,Securely Provision,Systems Requirements Planning,"Knowledge of key telecommunications concepts (e.g., Routing Algorithms, Fiber Optics Systems Link Budgeting, Add/Drop Multiplexers).",
h2,Cybersecurity Engineer,Securely Provision,Systems Requirements Planning,Knowledge of the organizationﾒs enterprise information technology (IT) goals and objectives.,
h2,Cybersecurity Engineer,Securely Provision,Systems Requirements Planning,Knowledge of the systems engineering process.,
h2,Cybersecurity Engineer,Securely Provision,Systems Requirements Planning,Skill in applying and incorporating information technologies into proposed solutions.,
h2,Cybersecurity Engineer,Securely Provision,Systems Requirements Planning,"Skill in applying confidentiality, integrity, and availability principles.",
h2,Cybersecurity Engineer,Securely Provision,Systems Requirements Planning,Skill in applying organization-specific systems analysis principles and techniques.,
